CLUSTERID1	interaction	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation	shared_motifs	TopSharedMotifs
7701	cosine	7720	-1.992	7701.0	0.8442	7701.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
4949	cosine	5639	-52.033	4949.0	0.9197	4949.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7598	cosine	8025	-43.013999999999996	7598.0	0.9096	7598.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7488	cosine	7783	-26.015	7488.0	0.9222	7488.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7559	cosine	7849	-26.016	7559.0	0.8792	7559.0	3	 	['motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7889	cosine	7939	-4.03	7889.0	0.9009	7889.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7829	cosine	7941	-14.050999999999998	7829.0	0.8755	7829.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7650	cosine	7889	-24.006	7650.0	0.8983	7650.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5655	cosine	5975	-26.011	5655.0	0.9219	5655.0	3	 	['motif_83', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5294	cosine	5656	-28.034000000000002	5294.0	0.9151	5294.0	3	 	['motif_93', 'motif_83', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8030	cosine	8037	-1.004	8030.0	0.8451	8030.0	3	 	['motif_29']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5744	cosine	5745	0.012	5744.0	0.8705	5744.0	3	 	['motif_131', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7760	cosine	8006	-28.031	7760.0	0.907	7760.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7871	cosine	7969	-13.982000000000001	7871.0	0.8843	7871.0	3	 	['motif_53', 'motif_104', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5656	cosine	5975	-26.008000000000003	5656.0	0.9079999999999999	5656.0	3	 	['motif_93', 'motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5655	cosine	6007	-28.026999999999997	5655.0	0.9348	5655.0	3	 	['motif_83', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7939	cosine	7940	0.0	7939.0	0.8945	7939.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7650	cosine	7925	-26.02	7650.0	0.8976	7650.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5588	cosine	5937	-28.031	5588.0	0.8509	5588.0	3	 	['motif_83', 'motif_14', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8030	cosine	8045	-1.946	8030.0	0.8703	8030.0	3	 	['motif_29']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
4949	cosine	5375	-28.035999999999998	4949.0	0.8671	4949.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5294	cosine	5376	-2.0180000000000002	5294.0	0.9166	5294.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
