CLUSTERID1	interaction	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	MEH	OtherScore	shared_motifs	TopSharedMotifs
9173	cosine	11512	9.0	0.9821	88.04700000000001	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10114	cosine	11927	9.0	0.9690000000000001	44.025	0.0	0.0	['motif_226', 'motif_284', 'motif_93']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9056	cosine	10185	9.0	0.9672	-88.054	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5893	cosine	10120	9.0	0.9779	0.003	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9100	cosine	10052	9.0	0.9717	132.075	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10052	cosine	11927	9.0	0.9806	-88.04899999999999	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5915	cosine	11623	9.0	0.9793	-132.07	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5871	cosine	9102	9.0	0.9792	-176.09599999999998	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5860	cosine	9173	9.0	0.9786	-176.09099999999998	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
11512	cosine	11545	9.0	0.9893	-44.027	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10258	cosine	11623	9.0	0.9833	0.001	0.0	0.0	['motif_159', 'motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
11512	cosine	11623	9.0	0.9841	-88.05	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10052	cosine	10114	9.0	0.9704	-132.07299999999998	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9102	cosine	11545	9.0	0.9868	-0.002	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9029	cosine	10185	9.0	0.9624	-132.091	0.0	0.0	['motif_226', 'motif_284', 'motif_93']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5860	cosine	10109	9.0	0.9842	-88.051	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9056	cosine	10114	9.0	0.9826	-44.023999999999994	0.0	0.0	['motif_226', 'motif_284', 'motif_93']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9173	cosine	11545	9.0	0.9872	44.02	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5860	cosine	11512	9.0	0.9851	-88.044	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10120	cosine	11509	9.0	0.9904	-0.001	0.0	0.0	['motif_159', 'motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
5891	cosine	10041	9.0	0.9714	-0.004	0.0	0.0	['motif_93', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
9029	cosine	10041	9.0	0.9839	-0.013000000000000001	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10170	cosine	11512	9.0	0.9845	44.031000000000006	0.0	0.0	['motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10041	cosine	10114	9.0	0.9839	-88.04799999999999	0.0	0.0	['motif_93', 'motif_284', 'motif_226']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
10054	cosine	11509	9.0	0.9788	44.016000000000005	0.0	0.0	['motif_159', 'motif_226', 'motif_284']	['motif_284', 'motif_226', 'motif_93', 'motif_159', 'motif_48']
