CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
10480	11535	17	0.9859	-44.025
10045	10169	17	0.9779	88.052
5902	11473	17	0.9711	84.096
9159	10206	17	0.9843	0.002
9137	10169	17	0.9713	0.001
9003	10087	17	0.9525	-88.053
5779	5827	17	0.9935	-44.027
5876	10169	17	0.9824	88.053
9412	10000	17	0.9664	112.155
10123	11516	17	0.9674	-28.032
5798	5827	17	0.9859	-132.077
5772	5779	17	0.9941	-44.023
8970	10427	17	0.9736	176.105
5827	8531	17	0.9786	-88.065
5419	9117	17	0.9712	88.037
10123	11705	17	0.9686	-220.129
5827	10019	17	0.9784	176.100
10169	11473	17	0.9624	-264.157
10206	11561	17	0.9661	-0.012
10123	11518	17	0.9873	44.027
9135	10254	17	0.967	-44.029
8970	11494	17	0.9823	-132.088
5772	5827	17	0.9922	-88.051
5798	11535	17	0.9856	88.053
10193	11429	17	0.9775	-88.052
5831	10254	17	0.9584	-176.111
9088	11473	17	0.9552	-220.130
9159	10022	17	0.9554	-264.158
8953	10020	17	0.9324	-88.051
10045	11528	17	0.9814	44.025
8968	9159	17	0.9604	88.049
8968	10084	17	0.9831	44.025
10084	11561	17	0.9859	44.013
5409	9117	17	0.9423	44.011
10193	10480	17	0.9811	44.027
5905	10087	17	0.958	-220.141
11473	11518	17	0.96	264.157
5876	11518	17	0.9799	88.053
9003	11494	17	0.978	-44.027
10427	11463	17	0.9466	-132.079
9004	9627	17	0.9681	-44.029
9003	9047	17	0.9858	-44.025
8968	11561	17	0.9765	88.038
5902	8531	17	0.9841	-44.037
10254	11494	17	0.9596	88.049
8531	10131	17	0.9871	-44.016
5902	10131	17	0.9815	-88.053
5876	5905	17	0.9587	-28.031
5905	9159	17	0.9735	88.049
10019	11493	17	0.9911	0.001
5905	8970	17	0.9703	-44.026
5902	10343	17	0.9764	-132.081
10193	11535	17	0.992	0.001
9088	10045	17	0.9803	-44.025
8970	10022	17	0.9801	-132.083
8531	9087	17	0.9756	-44.016
11516	11528	17	0.9585	28.032
10019	11535	17	0.9922	44.030
5827	8991	17	0.9694	176.094
9117	9412	17	0.9515	44.014
10045	10123	17	0.9828	44.024
10000	11443	17	0.9926	0.000
10022	10254	17	0.9538	-88.054
9047	11494	17	0.9875	-0.002
10084	11516	17	0.978	-0.000
8971	11705	17	0.9488	-176.105
9109	10206	17	0.9542	44.025
5409	9412	17	0.9526	88.025
10022	10087	17	0.9796	-44.032
5876	10123	17	0.9713	44.026
9966	10343	17	0.9591	-132.079
9087	10131	17	0.973	0.000
5779	5902	17	0.9872	-88.055
5779	11493	17	0.9783	132.074
5779	5798	17	0.9902	88.050
5827	10343	17	0.9703	-176.108
5876	11473	17	0.9628	-176.104
9047	10022	17	0.9852	0.003
9088	10123	17	0.9884	-0.001
9109	11561	17	0.9754	44.013
9135	11494	17	0.9799	44.020
10169	11518	17	0.9929	0.000
8531	9966	17	0.9733	44.035
5409	9206	17	0.9587	-88.053
5831	11516	17	0.9656	132.077
8953	8971	17	0.9542	44.027
5779	8531	17	0.9857	-132.092
9088	11518	17	0.9862	44.026
